Temperatura, Can B, 24V
Tempo ( s )	Temperatura ( °C )
114,0000	24,56811635
114,1000	24,52306280
114,2000	24,56811635
114,3000	24,52306280
114,4000	24,56811635
114,5000	24,52306280
114,6000	24,56811635
114,7000	24,52306280
114,8000	24,56811635
114,9000	24,52306280
115,0000	24,56811635
115,1000	24,52306280
115,2000	24,56811635
115,3000	24,52306280
115,4000	24,56811635
115,5000	24,52306280
115,6000	24,56811635
115,7000	24,52306280
115,8000	24,56811635
115,9000	24,52306280
116,0000	24,56811635
116,1000	24,52306280
116,2000	24,56811635
116,3000	24,56811635
116,4000	24,56811635
116,5000	24,56811635
116,6000	24,56811635
116,7000	24,52306280
116,8000	24,56811635
116,9000	24,52306280
117,0000	24,56811635
117,1000	24,52306280
117,2000	24,56811635
117,3000	24,52306280
117,4000	24,56811635
117,5000	24,52306280
117,6000	24,56811635
117,7000	24,52306280
117,8000	24,56811635
117,9000	24,52306280
118,0000	24,56811635
118,1000	24,56811635
118,2000	24,56811635
118,3000	24,52306280
118,4000	24,56811635
118,5000	24,52306280
118,6000	24,56811635
118,7000	24,52306280
118,8000	24,56811635
118,9000	24,52306280
119,0000	24,56811635
119,1000	24,52306280
119,2000	24,56811635
119,3000	24,56811635
119,4000	24,56811635
119,5000	24,56811635
119,6000	24,56811635
119,7000	24,56811635
119,8000	24,56811635
119,9000	24,56811635
120,0000	24,56811635
120,1000	24,56811635
120,2000	24,56811635
120,3000	24,56811635
120,4000	24,56811635
120,5000	24,56811635
120,6000	24,56811635
120,7000	24,56811635
120,8000	24,56811635
120,9000	24,56811635
121,0000	24,56811635
121,1000	24,56811635
121,2000	24,56811635
121,3000	24,52306280
121,4000	24,56811635
121,5000	24,56811635
121,6000	24,56811635
121,7000	24,56811635
121,8000	24,56811635
121,9000	24,56811635
122,0000	24,56811635
122,1000	24,56811635
122,2000	24,56811635
122,3000	24,56811635
122,4000	24,56811635
122,5000	24,56811635
122,6000	24,56811635
122,7000	24,56811635
122,8000	24,56811635
122,9000	24,56811635
123,0000	24,56811635
123,1000	24,56811635
123,2000	24,61319268
123,3000	24,56811635
123,4000	24,56811635
123,5000	24,56811635
123,6000	24,56811635
123,7000	24,56811635
123,8000	24,56811635
123,9000	24,52306280
124,0000	24,56811635
124,1000	24,56811635
124,2000	24,56811635
124,3000	24,56811635
124,4000	24,61319268
124,5000	24,56811635
124,6000	24,56811635
124,7000	24,56811635
124,8000	24,56811635
124,9000	24,56811635
125,0000	24,56811635
125,1000	24,52306280
125,2000	24,56811635
125,3000	24,56811635
125,4000	24,56811635
125,5000	24,56811635
125,6000	24,56811635
