#r		P		D
            5.33  0.0859358802873 -0.0708071360019
            5.34  0.0852291056597 -0.0705484465459
            5.35   0.084524911371 -0.0702910645768
            5.36  0.0838232843826 -0.0700349828493
            5.37  0.0831242117284 -0.0697801941516
            5.38  0.0824276805139 -0.0695266913052
            5.39  0.0817336779165 -0.0692744671658
             5.4  0.0810421911848 -0.0690235146222
            5.41  0.0803532076382 -0.0687738265969
            5.42  0.0796667146669 -0.0685253960461
            5.43  0.0789826997313 -0.0682782159595
            5.44  0.0783011503616 -0.0680322793602
            5.45  0.0776220541579 -0.0677875793048
            5.46  0.0769453987893 -0.0675441088834
            5.47  0.0762711719939 -0.0673018612196
            5.48  0.0755993615785 -0.0670608294703
            5.49  0.0749299554181 -0.0668210068257
             5.5  0.0742629414555 -0.0665823865093
            5.51  0.0735983077013  -0.066344961778
            5.52  0.0729360422333 -0.0661087259217
            5.53  0.0722761331961 -0.0658736722635
            5.54  0.0716185688012 -0.0656397941598
            5.55  0.0709633373261 -0.0654070849997
            5.56  0.0703104271143 -0.0651755382055
            5.57  0.0696598265749 -0.0649451472324
            5.58  0.0690115241825 -0.0647159055684
            5.59  0.0683655084764 -0.0644878067343
             5.6  0.0677217680606 -0.0642608442835
            5.61  0.0670802916034 -0.0640350118022
            5.62  0.0664410678372 -0.0638103029091
            5.63  0.0658040855578 -0.0635867112555
            5.64  0.0651693336246 -0.0633642305249
            5.65  0.0645368009598 -0.0631428544333
            5.66  0.0639064765483 -0.0629225767289
            5.67  0.0632783494375 -0.0627033911921
            5.68  0.0626524087367 -0.0624852916354
            5.69  0.0620286436169 -0.0622682719032
             5.7  0.0614070433107 -0.0620523258718
            5.71  0.0607875971115 -0.0618374474495
            5.72  0.0601702943737 -0.0616236305762
            5.73  0.0595551245119 -0.0614108692235
            5.74   0.058942077001 -0.0611991573944
            5.75  0.0583311413758 -0.0609884891235
            5.76  0.0577223072303 -0.0607788584767
            5.77  0.0571155642179 -0.0605702595511
            5.78  0.0565109020508 -0.0603626864751
            5.79  0.0559083104999 -0.0601561334079
             5.8  0.0553077793941 -0.0599505945398
            5.81  0.0547092986204  -0.059746064092
            5.82  0.0541128581235 -0.0595425363163
            5.83  0.0535184479053 -0.0593400054952
            5.84  0.0529260580248 -0.0591384659417
            5.85  0.0523356785976 -0.0589379119993
            5.86  0.0517472997959 -0.0587383380417
            5.87  0.0511609118478 -0.0585397384729
            5.88  0.0505765050373 -0.0583421077268
            5.89  0.0499940697041 -0.0581454402675
             5.9  0.0494135962428 -0.0579497305889
            5.91   0.048835075103 -0.0577549732145
            5.92  0.0482584967892 -0.0575611626976
            5.93  0.0476838518597  -0.057368293621
            5.94  0.0471111309273 -0.0571763605969
            5.95  0.0465403246582 -0.0569853582668
            5.96  0.0459714237724 -0.0567952813013
            5.97  0.0454044190426 -0.0566061244002
            5.98  0.0448393012947  -0.056417882292
            5.99   0.044276061407 -0.0562305497343
               6  0.0437146903102 -0.0560441215132
            6.01  0.0431551789868 -0.0558585924435
            6.02  0.0425975184714 -0.0556739573685
            6.03  0.0420416998495 -0.0554902111596
            6.04  0.0414877142581 -0.0553073487168
            6.05   0.040935552885 -0.0551253649679
            6.06  0.0403852069686 -0.0549442548687
            6.07  0.0398366677974 -0.0547640134031
            6.08  0.0392899267102 -0.0545846355826
            6.09  0.0387449750954 -0.0544061164461
             6.1  0.0382018043909 -0.0542284510604
            6.11  0.0376604060838 -0.0540516345194
            6.12    0.03712077171 -0.0538756619443
            6.13  0.0365828928543 -0.0537005284834
            6.14  0.0360467611497 -0.0535262293122
            6.15  0.0355123682774 -0.0533527596328
            6.16  0.0349797059663 -0.0531801146741
            6.17  0.0344487659931 -0.0530082896919
            6.18  0.0339195401816 -0.0528372799683
            6.19  0.0333920204028 -0.0526670808117
             6.2  0.0328661985744 -0.0524976875569
            6.21  0.0323420666607 -0.0523290955649
            6.22  0.0318196166721 -0.0521613002225
            6.23  0.0312988406651 -0.0519942969425
            6.24   0.030779730742 -0.0518280811636
            6.25  0.0302622790506 -0.0516626483499
            6.26  0.0297464777838 -0.0514979939912
            6.27  0.0292323191794 -0.0513341136026
            6.28  0.0287197955203 -0.0511710027244
            6.29  0.0282088991335 -0.0510086569222
             6.3  0.0276996223904 -0.0508470717866
            6.31  0.0271919577062  -0.050686242933
            6.32  0.0266858975401 -0.0505261660017
            6.33  0.0261814343946 -0.0503668366574
            6.34  0.0256785608153 -0.0502082505897
            6.35   0.025177269391 -0.0500504035123
            6.36  0.0246775527532 -0.0498932911633
